,Date_Time,Location,Model,Label,Actual,Predict,Score
269,2023-03-19 18:00:00,COR,SVM,Min_PM25_EWMA,3.0,5.86,4.72
270,2023-03-20 06:00:00,COR,SVM,Min_PM25_EWMA,3.0,7.48,4.72
271,2023-03-20 18:00:00,COR,SVM,Min_PM25_EWMA,11.0,7.58,4.72
272,2023-03-21 06:00:00,COR,SVM,Min_PM25_EWMA,9.0,7.31,4.72
273,2023-03-21 18:00:00,COR,SVM,Min_PM25_EWMA,3.0,10.22,4.72
274,2023-03-22 06:00:00,COR,SVM,Min_PM25_EWMA,12.0,10.07,4.72
275,2023-03-22 18:00:00,COR,SVM,Min_PM25_EWMA,10.0,9.3,4.72
276,2023-03-23 06:00:00,COR,SVM,Min_PM25_EWMA,14.0,10.52,4.72
277,2023-03-23 18:00:00,COR,SVM,Min_PM25_EWMA,16.0,11.38,4.72
278,2023-03-24 06:00:00,COR,SVM,Min_PM25_EWMA,13.0,11.4,4.72
279,2023-03-24 18:00:00,COR,SVM,Min_PM25_EWMA,10.0,12.61,4.72
280,2023-03-25 06:00:00,COR,SVM,Min_PM25_EWMA,11.0,11.57,4.72
281,2023-03-25 18:00:00,COR,SVM,Min_PM25_EWMA,14.0,12.37,4.72
282,2023-03-26 06:00:00,COR,SVM,Min_PM25_EWMA,19.0,8.89,4.72
283,2023-03-26 18:00:00,COR,SVM,Min_PM25_EWMA,21.0,13.95,4.72
284,2023-03-27 06:00:00,COR,SVM,Min_PM25_EWMA,9.0,10.22,4.72
285,2023-03-27 18:00:00,COR,SVM,Min_PM25_EWMA,9.0,15.3,4.72
286,2023-03-28 06:00:00,COR,SVM,Min_PM25_EWMA,27.0,11.66,4.72
287,2023-03-28 18:00:00,COR,SVM,Min_PM25_EWMA,21.0,10.67,4.72
288,2023-03-29 06:00:00,COR,SVM,Min_PM25_EWMA,19.0,13.67,4.72
289,2023-03-29 18:00:00,COR,SVM,Min_PM25_EWMA,13.0,11.63,4.72
290,2023-03-30 06:00:00,COR,SVM,Min_PM25_EWMA,18.0,12.54,4.72
291,2023-03-30 18:00:00,COR,SVM,Min_PM25_EWMA,24.0,10.73,4.72
292,2023-03-31 06:00:00,COR,SVM,Min_PM25_EWMA,11.0,15.33,4.72
293,2023-03-31 18:00:00,COR,SVM,Min_PM25_EWMA,21.0,14.87,4.72
